call_id,timestamp,base_prefix,unique_prefix,prompt_file,image_files,phase,cluster_id,n_spikes
29,2025-11-30_21-15-41,phase1_cluster_222,phase1_cluster_222_call00029,phase1_cluster_222_call00029_prompt.txt,phase1_cluster_222_call00029_waveform_overlay.png;phase1_cluster_222_call00029_isi_histogram.png;phase1_cluster_222_call00029_aggregation_tree.png,1,222,2889
30,2025-11-30_21-15-49,phase1_cluster_222,phase1_cluster_222_call00030,phase1_cluster_222_call00030_prompt.txt,phase1_cluster_222_call00030_waveform_overlay.png;phase1_cluster_222_call00030_isi_histogram.png;phase1_cluster_222_call00030_aggregation_tree.png,1,222,2653
31,2025-11-30_21-16-05,phase1_cluster_222,phase1_cluster_222_call00031,phase1_cluster_222_call00031_prompt.txt,phase1_cluster_222_call00031_waveform_overlay.png;phase1_cluster_222_call00031_isi_histogram.png;phase1_cluster_222_call00031_aggregation_tree.png,1,222,2033
32,2025-11-30_21-16-43,phase1_cluster_222,phase1_cluster_222_call00032,phase1_cluster_222_call00032_prompt.txt,phase1_cluster_222_call00032_waveform_overlay.png;phase1_cluster_222_call00032_isi_histogram.png;phase1_cluster_222_call00032_aggregation_tree.png,1,222,1970
33,2025-11-30_21-16-51,phase1_cluster_222,phase1_cluster_222_call00033,phase1_cluster_222_call00033_prompt.txt,phase1_cluster_222_call00033_waveform_overlay.png;phase1_cluster_222_call00033_isi_histogram.png;phase1_cluster_222_call00033_aggregation_tree.png,1,222,1880
34,2025-11-30_21-16-58,phase1_cluster_222,phase1_cluster_222_call00034,phase1_cluster_222_call00034_prompt.txt,phase1_cluster_222_call00034_waveform_overlay.png;phase1_cluster_222_call00034_isi_histogram.png;phase1_cluster_222_call00034_aggregation_tree.png,1,222,1404
35,2025-11-30_21-17-08,phase1_cluster_236,phase1_cluster_236_call00035,phase1_cluster_236_call00035_prompt.txt,phase1_cluster_236_call00035_waveform_overlay.png;phase1_cluster_236_call00035_isi_histogram.png;phase1_cluster_236_call00035_aggregation_tree.png,1,236,476
36,2025-11-30_21-23-32,phase1_cluster_288,phase1_cluster_288_call00036,phase1_cluster_288_call00036_prompt.txt,phase1_cluster_288_call00036_waveform_overlay.png;phase1_cluster_288_call00036_isi_histogram.png;phase1_cluster_288_call00036_aggregation_tree.png,1,288,90
37,2025-11-30_21-23-38,phase1_cluster_312,phase1_cluster_312_call00037,phase1_cluster_312_call00037_prompt.txt,phase1_cluster_312_call00037_waveform_overlay.png;phase1_cluster_312_call00037_isi_histogram.png;phase1_cluster_312_call00037_aggregation_tree.png,1,312,63
38,2025-11-30_21-23-45,phase1_cluster_226,phase1_cluster_226_call00038,phase1_cluster_226_call00038_prompt.txt,phase1_cluster_226_call00038_waveform_overlay.png;phase1_cluster_226_call00038_isi_histogram.png;phase1_cluster_226_call00038_aggregation_tree.png,1,226,620
39,2025-11-30_21-23-53,phase1_cluster_304,phase1_cluster_304_call00039,phase1_cluster_304_call00039_prompt.txt,phase1_cluster_304_call00039_waveform_overlay.png;phase1_cluster_304_call00039_isi_histogram.png;phase1_cluster_304_call00039_aggregation_tree.png,1,304,236
1,2025-11-30_21-41-28,phase1_cluster_1,phase1_cluster_1_call00001,phase1_cluster_1_call00001_prompt.txt,phase1_cluster_1_call00001_waveform_overlay.png;phase1_cluster_1_call00001_isi_histogram.png;phase1_cluster_1_call00001_aggregation_tree.png,1,1,88796
2,2025-11-30_21-41-46,phase1_cluster_1,phase1_cluster_1_call00002,phase1_cluster_1_call00002_prompt.txt,phase1_cluster_1_call00002_waveform_overlay.png;phase1_cluster_1_call00002_isi_histogram.png;phase1_cluster_1_call00002_aggregation_tree.png,1,1,88408
3,2025-11-30_21-41-55,phase1_cluster_1,phase1_cluster_1_call00003,phase1_cluster_1_call00003_prompt.txt,phase1_cluster_1_call00003_waveform_overlay.png;phase1_cluster_1_call00003_isi_histogram.png;phase1_cluster_1_call00003_aggregation_tree.png,1,1,88285
4,2025-11-30_21-42-08,phase1_cluster_1,phase1_cluster_1_call00004,phase1_cluster_1_call00004_prompt.txt,phase1_cluster_1_call00004_waveform_overlay.png;phase1_cluster_1_call00004_isi_histogram.png;phase1_cluster_1_call00004_aggregation_tree.png,1,1,88152
5,2025-11-30_21-42-23,phase1_cluster_1,phase1_cluster_1_call00005,phase1_cluster_1_call00005_prompt.txt,phase1_cluster_1_call00005_waveform_overlay.png;phase1_cluster_1_call00005_isi_histogram.png;phase1_cluster_1_call00005_aggregation_tree.png,1,1,76279
6,2025-11-30_21-42-34,phase1_cluster_1,phase1_cluster_1_call00006,phase1_cluster_1_call00006_prompt.txt,phase1_cluster_1_call00006_waveform_overlay.png;phase1_cluster_1_call00006_isi_histogram.png;phase1_cluster_1_call00006_aggregation_tree.png,1,1,74110
7,2025-11-30_21-42-49,phase1_cluster_1,phase1_cluster_1_call00007,phase1_cluster_1_call00007_prompt.txt,phase1_cluster_1_call00007_waveform_overlay.png;phase1_cluster_1_call00007_isi_histogram.png;phase1_cluster_1_call00007_aggregation_tree.png,1,1,73756
8,2025-11-30_21-42-56,phase1_cluster_1,phase1_cluster_1_call00008,phase1_cluster_1_call00008_prompt.txt,phase1_cluster_1_call00008_waveform_overlay.png;phase1_cluster_1_call00008_isi_histogram.png;phase1_cluster_1_call00008_aggregation_tree.png,1,1,73365
9,2025-11-30_21-43-05,phase1_cluster_1,phase1_cluster_1_call00009,phase1_cluster_1_call00009_prompt.txt,phase1_cluster_1_call00009_waveform_overlay.png;phase1_cluster_1_call00009_isi_histogram.png;phase1_cluster_1_call00009_aggregation_tree.png,1,1,72946
10,2025-11-30_21-43-18,phase1_cluster_1,phase1_cluster_1_call00010,phase1_cluster_1_call00010_prompt.txt,phase1_cluster_1_call00010_waveform_overlay.png;phase1_cluster_1_call00010_isi_histogram.png;phase1_cluster_1_call00010_aggregation_tree.png,1,1,72821
11,2025-11-30_21-43-37,phase1_cluster_1,phase1_cluster_1_call00011,phase1_cluster_1_call00011_prompt.txt,phase1_cluster_1_call00011_waveform_overlay.png;phase1_cluster_1_call00011_isi_histogram.png;phase1_cluster_1_call00011_aggregation_tree.png,1,1,72027
12,2025-11-30_21-43-46,phase1_cluster_1,phase1_cluster_1_call00012,phase1_cluster_1_call00012_prompt.txt,phase1_cluster_1_call00012_waveform_overlay.png;phase1_cluster_1_call00012_isi_histogram.png;phase1_cluster_1_call00012_aggregation_tree.png,1,1,71504
13,2025-11-30_21-43-58,phase1_cluster_1,phase1_cluster_1_call00013,phase1_cluster_1_call00013_prompt.txt,phase1_cluster_1_call00013_waveform_overlay.png;phase1_cluster_1_call00013_isi_histogram.png;phase1_cluster_1_call00013_aggregation_tree.png,1,1,70467
14,2025-11-30_21-44-15,phase1_cluster_1,phase1_cluster_1_call00014,phase1_cluster_1_call00014_prompt.txt,phase1_cluster_1_call00014_waveform_overlay.png;phase1_cluster_1_call00014_isi_histogram.png;phase1_cluster_1_call00014_aggregation_tree.png,1,1,69913
15,2025-11-30_21-44-25,phase1_cluster_1,phase1_cluster_1_call00015,phase1_cluster_1_call00015_prompt.txt,phase1_cluster_1_call00015_waveform_overlay.png;phase1_cluster_1_call00015_isi_histogram.png;phase1_cluster_1_call00015_aggregation_tree.png,1,1,67502
16,2025-11-30_21-44-53,phase1_cluster_1,phase1_cluster_1_call00016,phase1_cluster_1_call00016_prompt.txt,phase1_cluster_1_call00016_waveform_overlay.png;phase1_cluster_1_call00016_isi_histogram.png;phase1_cluster_1_call00016_aggregation_tree.png,1,1,36612
17,2025-11-30_21-45-09,phase1_cluster_4,phase1_cluster_4_call00017,phase1_cluster_4_call00017_prompt.txt,phase1_cluster_4_call00017_waveform_overlay.png;phase1_cluster_4_call00017_isi_histogram.png;phase1_cluster_4_call00017_aggregation_tree.png,1,4,30890
18,2025-11-30_21-45-18,phase1_cluster_4,phase1_cluster_4_call00018,phase1_cluster_4_call00018_prompt.txt,phase1_cluster_4_call00018_waveform_overlay.png;phase1_cluster_4_call00018_isi_histogram.png;phase1_cluster_4_call00018_aggregation_tree.png,1,4,30616
19,2025-11-30_21-45-27,phase1_cluster_4,phase1_cluster_4_call00019,phase1_cluster_4_call00019_prompt.txt,phase1_cluster_4_call00019_waveform_overlay.png;phase1_cluster_4_call00019_isi_histogram.png;phase1_cluster_4_call00019_aggregation_tree.png,1,4,13782
20,2025-11-30_21-45-34,phase1_cluster_6,phase1_cluster_6_call00020,phase1_cluster_6_call00020_prompt.txt,phase1_cluster_6_call00020_waveform_overlay.png;phase1_cluster_6_call00020_isi_histogram.png;phase1_cluster_6_call00020_aggregation_tree.png,1,6,16834
21,2025-11-30_21-45-43,phase1_cluster_6,phase1_cluster_6_call00021,phase1_cluster_6_call00021_prompt.txt,phase1_cluster_6_call00021_waveform_overlay.png;phase1_cluster_6_call00021_isi_histogram.png;phase1_cluster_6_call00021_aggregation_tree.png,1,6,15895
22,2025-11-30_21-45-55,phase1_cluster_6,phase1_cluster_6_call00022,phase1_cluster_6_call00022_prompt.txt,phase1_cluster_6_call00022_waveform_overlay.png;phase1_cluster_6_call00022_isi_histogram.png;phase1_cluster_6_call00022_aggregation_tree.png,1,6,15431
23,2025-11-30_21-46-05,phase1_cluster_6,phase1_cluster_6_call00023,phase1_cluster_6_call00023_prompt.txt,phase1_cluster_6_call00023_waveform_overlay.png;phase1_cluster_6_call00023_isi_histogram.png;phase1_cluster_6_call00023_aggregation_tree.png,1,6,15191
24,2025-11-30_21-46-18,phase1_cluster_167,phase1_cluster_167_call00024,phase1_cluster_167_call00024_prompt.txt,phase1_cluster_167_call00024_waveform_overlay.png;phase1_cluster_167_call00024_isi_histogram.png;phase1_cluster_167_call00024_aggregation_tree.png,1,167,240
25,2025-11-30_21-46-24,phase1_cluster_150,phase1_cluster_150_call00025,phase1_cluster_150_call00025_prompt.txt,phase1_cluster_150_call00025_waveform_overlay.png;phase1_cluster_150_call00025_isi_histogram.png;phase1_cluster_150_call00025_aggregation_tree.png,1,150,464
26,2025-11-30_21-46-33,phase1_cluster_98,phase1_cluster_98_call00026,phase1_cluster_98_call00026_prompt.txt,phase1_cluster_98_call00026_waveform_overlay.png;phase1_cluster_98_call00026_isi_histogram.png;phase1_cluster_98_call00026_aggregation_tree.png,1,98,939
27,2025-11-30_21-46-39,phase1_cluster_146,phase1_cluster_146_call00027,phase1_cluster_146_call00027_prompt.txt,phase1_cluster_146_call00027_waveform_overlay.png;phase1_cluster_146_call00027_isi_histogram.png;phase1_cluster_146_call00027_aggregation_tree.png,1,146,274
28,2025-11-30_21-46-46,phase1_cluster_128,phase1_cluster_128_call00028,phase1_cluster_128_call00028_prompt.txt,phase1_cluster_128_call00028_waveform_overlay.png;phase1_cluster_128_call00028_isi_histogram.png;phase1_cluster_128_call00028_aggregation_tree.png,1,128,2411
29,2025-11-30_21-46-56,phase1_cluster_117,phase1_cluster_117_call00029,phase1_cluster_117_call00029_prompt.txt,phase1_cluster_117_call00029_waveform_overlay.png;phase1_cluster_117_call00029_isi_histogram.png;phase1_cluster_117_call00029_aggregation_tree.png,1,117,554
30,2025-11-30_21-47-01,phase1_cluster_159,phase1_cluster_159_call00030,phase1_cluster_159_call00030_prompt.txt,phase1_cluster_159_call00030_waveform_overlay.png;phase1_cluster_159_call00030_isi_histogram.png;phase1_cluster_159_call00030_aggregation_tree.png,1,159,1037
31,2025-11-30_21-47-05,phase1_cluster_130,phase1_cluster_130_call00031,phase1_cluster_130_call00031_prompt.txt,phase1_cluster_130_call00031_waveform_overlay.png;phase1_cluster_130_call00031_isi_histogram.png;phase1_cluster_130_call00031_aggregation_tree.png,1,130,523
32,2025-11-30_21-47-11,phase1_cluster_143,phase1_cluster_143_call00032,phase1_cluster_143_call00032_prompt.txt,phase1_cluster_143_call00032_waveform_overlay.png;phase1_cluster_143_call00032_isi_histogram.png;phase1_cluster_143_call00032_aggregation_tree.png,1,143,794
